X;Y
215.30;78.77
199.83;66.34
184.77;54.60
177.80;49.83
169.86;48.37
163.35;47.88
158.69;47.49
152.66;47.93
148.28;50.34
145.28;52.17
140.18;52.53
135.57;52.31
130.61;52.26
127.29;50.86
126.40;48.79
124.96;44.62
123.96;41.20
120.74;34.36
116.53;30.75
108.54;28.81
103.12;29.29
99.72;33.50
98.16;38.71
97.98;42.57
95.98;44.49
91.56;45.35
85.72;48.18
78.64;50.62
74.96;50.95
71.39;50.40
68.91;48.43
66.61;45.11
62.59;36.61
59.51;28.62
55.81;23.63
52.57;22.71
45.14;24.79
36.35;31.40
33.52;40.35
33.46;41.99
33.93;49.35
36.72;57.42
42.12;74.78
44.51;77.63
48.28;78.77
55.95;79.60
57.25;80.45
58.56;89.64
58.76;101.35
63.64;107.81
75.79;122.95
88.61;140.71
89.92;142.47
94.50;143.75
97.71;145.35
100.33;148.90
105.14;154.50
125.81;175.60
128.53;177.61
132.34;178.80
136.23;178.97
139.48;177.90
141.16;175.11
141.32;170.38
139.85;168.20
136.79;164.75
133.87;160.78
122.85;144.25
114.13;135.45
112.61;134.72
108.43;131.45
107.71;126.51
107.46;121.26
106.96;117.85
102.98;113.97
97.35;110.12
94.29;108.00
91.12;104.90
90.87;102.76
91.75;97.79
92.42;94.38
91.64;90.86
88.67;87.74
85.22;86.33
82.27;84.85
80.60;79.92
82.34;69.84
87.39;64.13
95.16;60.12
104.58;59.13
111.86;58.88
117.51;60.19
119.84;63.14
121.81;69.18
122.28;75.61
123.48;86.56
127.20;94.68
134.72;105.42
142.99;118.62
149.80;128.97
155.21;134.40
161.67;136.40
164.77;135.15
168.87;130.90
171.33;124.59
171.88;117.84
170.92;111.22
166.47;105.72
159.32;101.70
151.87;96.98
148.26;94.87
142.47;90.54
142.25;81.71
144.41;79.80
148.22;77.53
151.23;74.11
152.37;71.57
154.34;65.71
157.44;63.90
162.62;63.66
166.74;65.56
169.20;68.37
170.24;72.47
171.14;77.90
170.78;80.47
169.93;84.18
171.65;88.70
173.51;90.26
176.52;93.32
177.30;97.54
176.18;102.85
181.45;111.62
184.54;115.19
188.51;118.68
190.63;122.80
191.35;126.49
190.53;129.35
188.65;131.55
185.18;132.79
177.99;134.90
172.41;140.94
171.54;145.40
172.83;148.49
175.11;151.98
178.11;155.30
180.62;156.29
184.17;156.14
191.15;154.54
196.22;152.52
202.38;149.44
207.92;145.13
209.62;140.11
212.65;133.46
217.33;131.25
220.93;131.47
224.78;133.29
226.94;135.72
229.66;141.59
229.51;144.45
227.48;149.93
222.30;155.91
216.67;162.78
214.31;165.11
208.86;167.32
200.62;171.44
194.45;176.31
195.79;189.71
201.59;194.56
207.91;195.49
211.79;194.83
216.45;192.99
219.84;190.58
223.98;185.45
251.16;145.52
253.00;141.38
252.40;138.67
250.99;135.68
249.44;132.77
249.29;127.69
250.63;124.57
251.37;121.46
250.87;117.17
249.10;113.55
242.31;104.85
234.72;96.14
231.38;93.56
225.24;93.32
221.71;91.13
219.47;87.86
217.55;81.56
215.30;78.77
